"date_litter","stage","weight","species","confidence"
"7/3/2015","23.5",730,"aco","medium"
"7/3/2015","23.5",758,"aco","medium"
"4/25/2014","22.5",761,"aco","medium"
"2/3/2014",24,764,"aco","medium"
"2/3/2014",24,765,"aco","medium"
"5/21/2014","24.5",792,"aco","medium"
"2/3/2014",24,796,"aco","medium"
"2/3/2014",24,812,"aco","medium"
"2/3/2014",24,825,"aco","medium"
"11/3/2014","24.5",858,"aco","medium"
"11/25/2014","25.5",875,"aco","medium"
"11/25/2014","25.5",881,"aco","medium"
"11/25/2014","25.5",940,"aco","medium"
"8/18/2015","25.5",945,"aco","medium"
"5/21/2014","24.5",965,"aco","medium"
"2/17/2014",24,968,"aco","medium"
"8/18/2015","25.5",998,"aco","medium"
"2/17/2014",24,1012,"aco","medium"
"3/21/2016",26,1013,"aco","medium"
"11/25/2014","25.5",1030,"aco","medium"
"3/21/2016",26,1056,"aco","medium"
"8/13/2014","26.5",1084,"aco","medium"
"10/27/2015","25.5",1101,"aco","medium"
"2/17/2014",24,1112,"aco","medium"
"8/13/2014","26.5",1148,"aco","medium"
"10/27/2015","25.5",1207,"aco","medium"
"4/23/2014","26.5",1215,"aco","medium"
"10/27/2015","25.5",1226,"aco","medium"
"10/27/2015",26,1242,"aco","medium"
"4/22/2014","25.5",1245,"aco","medium"
"7/6/2015",27,1270,"aco","medium"
"10/27/2015",26,1282,"aco","medium"
"7/6/2015",27,1303,"aco","medium"
"4/23/2014","26.5",1326,"aco","medium"
"7/6/2015",27,1342,"aco","medium"
"11/3/2014","26.5",1372,"aco","medium"
"2/17/2014",27,1386,"aco","Medium-low"
"2/17/2014",27,1386,"aco","Medium-low"
"4/22/2014","25.5",1400,"aco","medium"
"2/17/2014",27,1400,"aco","medium"
"2/17/2014",27,1401,"aco","medium"
"4/4/2016","26.5",1439,"aco","medium"
"4/20/2015","26.5",1454,"aco","medium"
"4/20/2015","26.5",1471,"aco","medium"
"4/20/2015","26.5",1479,"aco","medium"
"4/4/2016","26.5",1501,"aco","medium"
"4/27/2016","27.5",1526,"aco","medium"
"4/27/2016","27.5",1560,"aco","medium"
"5/9/2016",27,1564,"aco","medium"
"5/9/2016",27,1578,"aco","medium"
"4/12/2016",27,1581,"aco","medium"
"4/27/2016","27.5",1637,"aco","medium"
"5/3/2016","27.5",1640,"aco","medium"
"5/3/2016","27.5",1782,"aco","medium"
"4/12/2016",27,1813,"aco","medium"
"04/06/19",11,143,"ham","medium"
"04/06/19",11,163,"ham","medium"
"04/06/19",11,185,"ham","medium"
"04/06/19",11,214,"ham","medium"
"04/06/19",11,152,"ham","medium"
"04/06/19",11,153,"ham","medium"
"04/06/19",11,155,"ham","medium"
"04/06/19",11,202,"ham","medium"
"04/06/19",11,207,"ham","medium"
"05/28/2019",11,78,"ham","medium"
"05/28/2019",11,85,"ham","medium"
"05/28/2019",11,86,"ham","medium"
"05/28/2019",11,95,"ham","medium"
"05/28/2019",11,100,"ham","medium"
"14/08/20","11.25",137,"ham","medium"
